_id,day,hour,hr_value,latitude,longitude,minute,month,o2_value,second,step_value,timestamp,year
5cb561fdc4e5a668b7ec7f6a,16,13,80,,,2,4,96,35,0,1555390955.0,2019
5cb56207c4e5a668b7ec7f6e,16,13,80,,,2,4,96,45,0,1555390965.0,2019
5cb569b7c4e5a668b7ec8092,16,13,,,,35,4,,34,,1555392934.0,2019
5cb569c2c4e5a668b7ec8094,16,13,,,,35,4,,44,0,1555392944.0,2019
5cb569ccc4e5a668b7ec8096,16,13,,,,35,4,,54,0,1555392954.0,2019
5cb569d5c4e5a668b7ec8098,16,13,,,,36,4,,4,0,1555392964.0,2019
5cb569e0c4e5a668b7ec809a,16,13,,,,36,4,,14,0,1555392974.0,2019
5cb569eac4e5a668b7ec809c,16,13,,,,36,4,,24,0,1555392984.0,2019
5cb569f4c4e5a668b7ec809e,16,13,87,,,36,4,98,34,0,1555392994.0,2019
5cb569fec4e5a668b7ec80a0,16,13,87,,,36,4,98,44,0,1555393004.0,2019
5cb56a08c4e5a668b7ec80a2,16,13,87,,,36,4,98,54,0,1555393014.0,2019
5cb56a12c4e5a668b7ec80a4,16,13,87,,,37,4,98,4,0,1555393024.0,2019
5cb56a2ec4e5a668b7ec80a6,16,13,,,,37,4,,33,,1555393053.0,2019
5cb56a38c4e5a668b7ec80a8,16,13,,,,37,4,,43,0,1555393063.0,2019
5cb56a42c4e5a668b7ec80aa,16,13,,,,37,4,,53,0,1555393073.0,2019
5cb56a4cc4e5a668b7ec80ac,16,13,,,,38,4,,3,0,1555393083.0,2019
5cb56a56c4e5a668b7ec80ae,16,13,,,,38,4,,13,0,1555393093.0,2019
5cb56a61c4e5a668b7ec80b0,16,13,,,,38,4,,23,0,1555393103.0,2019
5cb56a6ac4e5a668b7ec80b2,16,13,84,,,38,4,96,33,0,1555393113.0,2019
5cb56a74c4e5a668b7ec80b4,16,13,84,,,38,4,96,43,0,1555393123.0,2019
5cb56a7fc4e5a668b7ec80b6,16,13,84,,,38,4,96,53,0,1555393133.0,2019
5cb56abec4e5a668b7ec80b8,16,13,,,,39,4,,56,,1555393196.0,2019
5cb56ac8c4e5a668b7ec80ba,16,13,,,,40,4,,6,0,1555393206.0,2019
5cb56ad2c4e5a668b7ec80bc,16,13,,,,40,4,,16,0,1555393216.0,2019
5cb56adcc4e5a668b7ec80be,16,13,,,,40,4,,26,0,1555393226.0,2019
5cb58c31c4e5a668b7ec8a92,16,16,,,,2,4,,40,,1555401760.0,2019
5cb58c3cc4e5a668b7ec8a98,16,16,,,,2,4,,50,0,1555401770.0,2019
5cb58c45c4e5a668b7ec8a9e,16,16,,,,3,4,,0,0,1555401780.0,2019
5cb58c4fc4e5a668b7ec8aa4,16,16,,,,3,4,,10,0,1555401790.0,2019
5cb58c5ac4e5a668b7ec8aaa,16,16,,,,3,4,,20,0,1555401800.0,2019
5cb58c64c4e5a668b7ec8ab0,16,16,,,,3,4,,30,0,1555401810.0,2019
5cb58c6ec4e5a668b7ec8ab6,16,16,,,,3,4,,40,0,1555401820.0,2019
5cb58c78c4e5a668b7ec8abc,16,16,64,,,3,4,98,50,0,1555401830.0,2019
5cb58c82c4e5a668b7ec8ac2,16,16,64,,,4,4,98,0,0,1555401840.0,2019
5cb58c8cc4e5a668b7ec8ac8,16,16,64,,,4,4,98,10,0,1555401850.0,2019
5cb58c96c4e5a668b7ec8ace,16,16,64,,,4,4,98,20,0,1555401860.0,2019
5cb58ca0c4e5a668b7ec8ad4,16,16,76,,,4,4,98,30,0,1555401870.0,2019
5cb58caac4e5a668b7ec8ada,16,16,76,,,4,4,98,40,0,1555401880.0,2019
5cb58cb4c4e5a668b7ec8ae0,16,16,76,,,4,4,98,50,0,1555401890.0,2019
5cb58cbec4e5a668b7ec8ae6,16,16,76,,,5,4,98,0,0,1555401900.0,2019
5cb58cc8c4e5a668b7ec8aec,16,16,76,,,5,4,98,10,0,1555401910.0,2019
5cb58cd2c4e5a668b7ec8af2,16,16,76,,,5,4,98,20,0,1555401920.0,2019
5cb58cdcc4e5a668b7ec8af8,16,16,76,,,5,4,98,30,0,1555401930.0,2019
5cb58ce6c4e5a668b7ec8afe,16,16,76,,,5,4,98,40,0,1555401940.0,2019
5cb58cf0c4e5a668b7ec8b04,16,16,76,,,5,4,98,50,0,1555401950.0,2019
5cb58cfac4e5a668b7ec8b0a,16,16,76,,,6,4,98,0,0,1555401960.0,2019
5cb58d04c4e5a668b7ec8b10,16,16,76,,,6,4,98,10,0,1555401970.0,2019
5cb58d0ec4e5a668b7ec8b16,16,16,76,,,6,4,98,20,0,1555401980.0,2019
5cb58d18c4e5a668b7ec8b1c,16,16,76,,,6,4,98,30,0,1555401990.0,2019
5cb58d22c4e5a668b7ec8b22,16,16,76,,,6,4,98,40,0,1555402000.0,2019
5cb58d2cc4e5a668b7ec8b28,16,16,76,,,6,4,98,50,0,1555402010.0,2019
5cb58d36c4e5a668b7ec8b2e,16,16,77,,,7,4,97,0,0,1555402020.0,2019
5cb58d40c4e5a668b7ec8b34,16,16,74,,,7,4,98,10,0,1555402030.0,2019
5cb58d5cc4e5a668b7ec8b40,16,16,,,,7,4,,38,,1555402058.0,2019
5cb58da3c4e5a668b7ec8b60,16,16,,,,8,4,,50,,1555402130.0,2019
5cb58e36c4e5a668b7ec8b84,16,16,,,,11,4,,17,,1555402277.0,2019
5cb58e40c4e5a668b7ec8b88,16,16,,,,11,4,,27,0,1555402287.0,2019
5cb58e5dc4e5a668b7ec8b90,16,16,,,,11,4,,55,,1555402315.0,2019
5cb58e67c4e5a668b7ec8b92,16,16,,,,12,4,,5,0,1555402325.0,2019
5cb58e71c4e5a668b7ec8b94,16,16,,,,12,4,,15,0,1555402335.0,2019
5cb58e7bc4e5a668b7ec8b98,16,16,,,,12,4,,25,0,1555402345.0,2019
5cb58e8cc4e5a668b7ec8ba0,16,16,,,,12,4,,42,0,1555402362.0,2019
5cb58e96c4e5a668b7ec8ba4,16,16,,,,12,4,,52,0,1555402372.0,2019
5cb58ec4c4e5a668b7ec8bb0,16,16,,,,13,4,,38,,1555402418.0,2019
5cb58ecec4e5a668b7ec8bb6,16,16,,,,13,4,,48,0,1555402428.0,2019
