id,prediction,hr_value,step_value,timestamp
5,0,74.0,0.0,1553677301.0
6,0,74.0,0.0,1553677311.0
7,0,74.0,0.0,1553677321.0
8,0,74.0,27.0,1553677331.0
9,0,74.0,0.0,1553677341.0
10,0,74.0,21.0,1553677351.0
11,0,74.0,0.0,1553677361.0
12,0,74.0,0.0,1553677371.0
13,0,74.0,0.0,1553677381.0
14,0,74.0,0.0,1553677391.0
15,0,74.0,0.0,1553677401.0
16,0,74.0,22.0,1553677412.0
17,0,74.0,0.0,1553677422.0
18,0,74.0,36.0,1553677432.0
19,0,74.0,12.0,1553677442.0
20,0,74.0,4.0,1553677452.0
21,0,74.0,0.0,1553677462.0
22,0,74.0,0.0,1553677472.0
23,0,82.0,0.0,1553677482.0
24,0,82.0,0.0,1553677492.0
25,0,82.0,0.0,1553677502.0
26,0,82.0,0.0,1553677512.0
27,0,82.0,0.0,1553677522.0
28,0,82.0,0.0,1553677532.0
29,0,51.0,0.0,1553677544.0
30,0,51.0,0.0,1553677557.0
31,0,51.0,0.0,1553677570.0
32,0,51.0,0.0,1553677583.0
33,0,51.0,0.0,1553677596.0
34,0,51.0,0.0,1553677609.0
35,0,51.0,0.0,1553677623.0
36,0,51.0,43.0,1553677637.0
37,0,51.0,3.0,1553677649.0
38,0,51.0,0.0,1553677662.0
39,0,51.0,0.0,1553677676.0
40,0,51.0,0.0,1553677690.0
41,0,51.0,0.0,1553677701.0
42,0,51.0,0.0,1553677715.0
43,0,51.0,0.0,1553677728.0
44,0,51.0,0.0,1553677741.0
45,0,51.0,0.0,1553677753.0
46,0,51.0,0.0,1553677766.0
47,0,51.0,0.0,1553677779.0
48,0,51.0,31.0,1553677793.0
49,0,51.0,16.0,1553677803.0
50,0,51.0,0.0,1553677816.0
51,0,51.0,0.0,1553677828.0
52,0,51.0,0.0,1553677839.0
53,0,51.0,0.0,1553677852.0
54,0,51.0,0.0,1553677865.0
55,1,96.0,0.0,1553677878.0
56,1,96.0,0.0,1553677890.0
57,1,96.0,0.0,1553677904.0
58,1,96.0,0.0,1553677917.0
59,1,96.0,0.0,1553677930.0
60,1,96.0,0.0,1553677943.0
61,0,79.0,0.0,1553677957.0
62,0,79.0,0.0,1553677970.0
63,0,79.0,0.0,1553677983.0
64,0,79.0,0.0,1553677996.0
65,0,79.0,0.0,1553678009.0
66,0,79.0,0.0,1553678022.0
67,0,79.0,0.0,1553678035.0
68,0,79.0,0.0,1553678046.0
69,0,79.0,0.0,1553678058.0
70,0,79.0,0.0,1553678069.0
71,0,79.0,0.0,1553678079.0
72,0,79.0,0.0,1553678089.0
73,0,79.0,0.0,1553678099.0
74,0,79.0,0.0,1553678109.0
75,0,79.0,0.0,1553678119.0
76,0,79.0,0.0,1553678131.0
77,0,79.0,0.0,1553678144.0
78,0,79.0,0.0,1553678156.0
79,0,79.0,0.0,1553678169.0
80,0,79.0,0.0,1553678181.0
81,0,79.0,0.0,1553678195.0
82,1,98.0,0.0,1553678208.0
83,1,98.0,0.0,1553678220.0
84,1,98.0,0.0,1553678234.0
85,1,98.0,0.0,1553678244.0
86,1,98.0,0.0,1553678254.0
87,1,98.0,0.0,1553678264.0
88,1,98.0,0.0,1553678277.0
89,1,98.0,0.0,1553678289.0
90,1,98.0,0.0,1553678301.0
91,1,98.0,0.0,1553678313.0
92,0,76.0,0.0,1553678327.0
93,0,76.0,0.0,1553678338.0
94,0,76.0,0.0,1553678350.0
95,0,76.0,0.0,1553678363.0
96,0,80.0,0.0,1553678377.0
97,0,80.0,0.0,1553678390.0
98,0,80.0,0.0,1553678401.0
99,0,80.0,0.0,1553678414.0
100,0,80.0,0.0,1553678426.0
101,0,80.0,0.0,1553678438.0
102,1,87.0,0.0,1553678452.0
103,1,87.0,0.0,1553678465.0
104,1,87.0,0.0,1553678476.0
105,1,87.0,0.0,1553678489.0
106,1,87.0,0.0,1553678502.0
107,0,57.0,0.0,1553678515.0
108,0,57.0,0.0,1553678527.0
109,0,57.0,0.0,1553678541.0
110,0,57.0,0.0,1553678553.0
111,0,57.0,0.0,1553678566.0
112,0,57.0,0.0,1553678576.0
113,0,57.0,0.0,1553678588.0
114,0,57.0,0.0,1553678600.0
115,0,57.0,0.0,1553678612.0
116,0,57.0,0.0,1553678625.0
117,0,57.0,0.0,1553678639.0
118,0,53.0,0.0,1553678650.0
119,0,53.0,0.0,1553678662.0
120,0,53.0,0.0,1553678676.0
121,0,83.0,0.0,1553678690.0
122,0,83.0,0.0,1553678702.0
123,0,83.0,0.0,1553678716.0
124,0,83.0,0.0,1553678730.0
125,0,83.0,0.0,1553678743.0
126,0,83.0,0.0,1553678757.0
127,0,83.0,0.0,1553678770.0
128,0,83.0,0.0,1553678783.0
129,0,83.0,0.0,1553678796.0
130,0,83.0,0.0,1553678808.0
131,0,83.0,0.0,1553678818.0
132,0,83.0,0.0,1553678831.0
133,0,83.0,0.0,1553678846.0
134,0,62.0,0.0,1553678859.0
135,0,62.0,0.0,1553678871.0
136,0,62.0,0.0,1553678884.0
137,0,62.0,0.0,1553678898.0
138,0,62.0,0.0,1553678911.0
139,1,91.0,0.0,1553678923.0
140,1,91.0,0.0,1553678935.0
